dateTime,country,profile,age,gender,referral,pageviews,purchased,purchaseAmount
2014-08-29 03:34,Australia,Friend/family friend,25-34,Female,Unbranded Search,9,0,0
2014-09-10 09:03,United States,Friend/family friend,25-34,Female,Unbranded Search,7,0,0
2014-08-13 22:43,United States,Friend/family friend,35-44,Female,Social,3,0,0
2014-09-05 12:37,United States,Friend/family friend,35-44,Female,Unbranded Search,7,0,0
2014-08-20 18:29,United States,Friend/family friend,45-54,Female,Unbranded Search,11,0,0
2014-08-04 02:17,United States,Friend/family friend,55-64,Female,Unbranded Search,11,0,0
2014-08-01 18:31,United States,Friend/family friend,18-24,NA,Branded Search,12,0,0
2014-08-02 23:10,United States,Friend/family friend,55-64,NA,Direct,5,0,0
2014-08-03 12:22,Romania,Friend/family friend,18-24,NA,Social,3,0,0
2014-08-04 23:25,United States,Friend/family friend,25-34,NA,Social,2,0,0
2014-08-31 01:11,Australia,Friend/family friend,35-44,NA,Social,5,0,0
2014-09-11 02:08,United States,Friend/family friend,45-54,NA,Social,2,0,0
2014-07-27 00:31,United States,Friend/family friend,18-24,NA,Unbranded Search,2,0,0
2014-08-03 19:54,United States,Friend/family friend,25-34,NA,Unbranded Search,12,0,0
2014-08-07 14:39,United States,Friend/family friend,35-44,NA,Unbranded Search,12,0,0
2014-08-10 09:03,United States,Friend/family friend,45-54,NA,Unbranded Search,3,0,0
2014-08-10 10:23,United States,Friend/family friend,55-64,NA,Unbranded Search,4,0,0
2014-08-22 15:07,United States,Friend/family friend,18-24,NA,Unbranded Search,12,0,0
2014-08-25 17:35,United States,Friend/family friend,25-34,NA,Unbranded Search,11,0,0
2014-09-02 19:33,United States,Friend/family friend,35-44,NA,Unbranded Search,11,0,0
2014-09-02 22:34,United States,Friend/family friend,45-54,NA,Unbranded Search,10,0,0
2014-09-08 23:59,United States,Friend/family friend,55-64,NA,Unbranded Search,3,0,0
2014-09-10 14:51,United Arab Emirates,Friend/family friend,18-24,NA,Unbranded Search,3,0,0
2014-08-12 15:03,South Africa,Health Professional,18-24,Female,Unbranded Search,3,0,0
2014-08-19 20:29,United States,Health Professional,18-24,Female,Unbranded Search,11,0,0
2014-08-29 14:02,United States,Health Professional,18-24,Female,Unbranded Search,4,0,0
2014-07-30 09:41,United States,Health Professional,25-34,Female,Direct,4,0,0
2014-08-12 15:07,United States,Health Professional,25-34,Female,Direct,6,1,96.8
2014-08-13 10:00,United States,Health Professional,25-34,Female,Direct,7,0,0
2014-09-09 20:38,United States,Health Professional,25-34,Female,Direct,11,0,0
2014-07-29 13:41,United States,Health Professional,25-34,Female,Referred,10,0,0
2014-07-28 20:39,United States,Health Professional,25-34,Female,Unbranded Search,7,0,0
2014-07-29 15:14,United States,Health Professional,25-34,Female,Unbranded Search,3,0,0
2014-08-01 10:14,United States,Health Professional,25-34,Female,Unbranded Search,12,0,0
2014-08-02 21:38,United States,Health Professional,25-34,Female,Unbranded Search,5,0,0
2014-08-06 07:50,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
2014-08-07 10:08,United States,Health Professional,25-34,Female,Unbranded Search,11,0,0
2014-08-11 21:53,United States,Health Professional,25-34,Female,Unbranded Search,12,0,0
2014-08-12 15:37,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
2014-08-13 14:03,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
2014-08-19 12:18,United States,Health Professional,25-34,Female,Unbranded Search,10,0,0
2014-08-20 14:51,United States,Health Professional,25-34,Female,Unbranded Search,4,0,0
2014-08-21 12:52,United States,Health Professional,25-34,Female,Unbranded Search,11,0,0
2014-08-24 21:36,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
2014-08-27 19:38,United States,Health Professional,25-34,Female,Unbranded Search,1,0,0
2014-08-28 08:32,United States,Health Professional,25-34,Female,Unbranded Search,2,0,0
2014-08-28 19:52,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
2014-09-02 14:42,United States,Health Professional,25-34,Female,Unbranded Search,9,0,0
2014-09-03 14:28,United States,Health Professional,25-34,Female,Unbranded Search,8,0,0
2014-09-05 00:08,Australia,Health Professional,25-34,Female,Unbranded Search,11,0,0
2014-09-05 10:40,United States,Health Professional,25-34,Female,Unbranded Search,8,0,0
2014-09-09 10:18,Canada,Health Professional,25-34,Female,Unbranded Search,3,0,0
2014-09-10 15:40,United States,Health Professional,25-34,Female,Unbranded Search,11,0,0
2014-08-05 00:38,Australia,Health Professional,35-44,Female,Branded Search,8,1,111.72
2014-08-25 13:53,United States,Health Professional,35-44,Female,Branded Search,4,0,0
2014-07-29 21:41,United States,Health Professional,35-44,Female,Direct,10,0,0
2014-07-30 11:34,United States,Health Professional,35-44,Female,Direct,3,0,0
2014-08-11 14:12,United States,Health Professional,35-44,Female,Direct,12,1,104
2014-08-15 19:42,United States,Health Professional,35-44,Female,Direct,4,0,0
2014-08-18 10:13,United States,Health Professional,35-44,Female,Direct,10,0,0
2014-08-20 14:21,United States,Health Professional,35-44,Female,Direct,11,1,128.17
2014-08-20 16:50,United States,Health Professional,35-44,Female,Direct,2,0,0
2014-08-26 09:06,United States,Health Professional,35-44,Female,Direct,2,0,0
